xlow xhigh goodpoints(on10000000)
-1	1	7866180
-2	2	5565819
-3	3	4205412
-4	4	3359576
-5	5	2796191
-6	6	2396027
-7	7	2094777
-8	8	1863194
-9	9	1680761
-10	10	1527584
-11	11	1401947
-12	12	1296769
-13	13	1205012
-14	14	1126245
-15	15	1059367
-16	16	999161
-17	17	945361
-18	18	897593
-19	19	854214
-20	20	815246
-25	25	662990
-30	30	559157
-35	35	483622
-40	40	424629
-50	50	341869
-60	60	286428
-70	70	245862
-80	80	215433
-90	90	191212
-100	100	172592
